,index,neighborhood,post title,number bedrooms,sqft,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,nearest_shuttle_stop,nearest_restaurants,restaurant_distance,total_rating
36,30, (Pittsburgh),Rent to Own on the Edge Of Brentwood. Minutes from the City!!,2,828.0,795,13472.0,3314.0,509.0,8123.0,1633.0,509.0,"('PTC-Pittsburgh Technology Center', 'PTC', 108.19412453970966)","[('Nepali Asian Restaurant', 15.192411793368306, 5.0), ('Union Pie Co', 15.73821570232849, 4.5), ('Vocelli Pizza', 18.05724610649928, 4.5), ('Maietta Restaurant', 26.283861943353735, 3.5), (""Leon's Caribbean Restaurant"", 26.845999575612613, 4.5)]",20.423547024232484,7.0
37,35, (Spring Hill City View / Northside),"Updated 3 Bed, 1 Bath - Close to Everything with Million Dollar Views",3,1100.0,1250,9641.0,2991.0,1010.0,3903.0,1873.0,1561.0,"('PTC-Pittsburgh Technology Center', 'PTC', 117.3126438150098)","[('Kaffeehaus', 5.70069877149408, 4.5), ('Penn Brewery', 10.525641653417614, 3.5), ('Eleven', 11.396063942560186, 4.0), ('Riviera Pizza & Pasta', 11.598200040426233, 3.5), ('CobblerWorld', 11.797337503958898, 5.0)]",131.40232027533648,6.4
38,36, (Pittsburgh),"✪Beautiful (2) bedroom, (1) bathroom condo home.COMPLETELY UPDATED✪",2,1350.0,650,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",7.580326552567529,6.3
39,27, (Penn Hills),"RENT-2-OWN Home in Penn Hills! 3-4 BR, Minor Fixer Upper! EZ Qual!",3,1320.0,995,15880.0,3411.0,676.0,20122.0,3513.0,676.0,"('Bakery Square (Google)', 'BS', 209.65886270907365)","[('Starlite Lounge', 22.296011392717894, 3.5), ('Maenam Thai Restaurant', 22.38853224300081, 5.0), (""Nox's Tavern and Grille"", 23.097201532434983, 4.5), ('Steel Towne Inn', 37.08975207776498, 4.5), ('Superior Motors', 42.13291570286099, 4.0)]",29.400882589755934,6.3
40,39, (Pittsburgh),!!*-*-* THREE BEDROOM TWO BATH HOUSE*-*-*!!,2,990.0,740,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",14.781409448692012,6.2
41,25, (Penn Hills),Verona 3 Bdr/1 Ba House RENT-2-OWN! EZ QUAL!!,3,1320.0,1095,14173.0,3606.0,832.0,19589.0,4073.0,832.0,"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]",131.40232027533648,5.3
42,16, (Pittsburgh Area),Sell Your House Fast – No Commissions – Real Estate Alternative,3,1500.0,34900,41166.0,4855.0,747.0,8678.0,1872.0,1009.0,"('PTC-Pittsburgh Technology Center', 'PTC', 401.4941015138754)","[('Mia Madre Trattoria', 18.08404902275341, 4.0), ('Pittsburgh Sandwich Society', 26.890214864691004, 4.5), (""Sarafino's Pasta and Pizza"", 27.012503569634845, 4.0), ('Pierogies Plus', 27.594834988712854, 4.5), ('The Original BSB’s - Avalon', 28.27525176240033, 4.5)]",25.571370841638487,4.2
43,28, (McKees Rocks),McKees Rocks RENT-2-OWN! Own Ur Own Home! EZ Qual,2,924.0,695,38753.0,5041.0,1259.0,32014.0,4205.0,1259.0,"('PTC-Pittsburgh Technology Center', 'PTC', 482.6942389657156)","[('Fireside Inn', 22.45888309715909, 3.5), ('Sapporo Japanese Steakhouse', 25.198466374997903, 4.0), ('Tap Club', 38.626082369203836, 5.0), (""Sunny Jim's Tavern"", 39.554726943393334, 3.5), ('Cafe Delhi', 43.27479457838765, 4.0)]",33.82259067262836,3.6
44,17, (Robinson Township),"2 Bedroom, 2 Bath, Well Maintained Condo",2,1026.0,1200,31800.0,4552.0,1846.0,25061.0,3716.0,1846.0,"('PTC-Pittsburgh Technology Center', 'PTC', 682.8264622519827)","[('Primanti Bros', 151.71910990441773, 3.5), (""Sunny Jim's Tavern"", 183.7873721088377, 3.5), ('Wild Rosemary', 186.4855771740394, 4.0), ('Sapporo Japanese Steakhouse', 187.76579683031716, 4.0), ('Leogreta', 188.22769822419295, 4.0)]",179.597110848361,3.2
45,18, (FORWARD TOWNSHIP),2 BEDROOM HOUSE,2,1100.0,650,38140.0,6778.0,2394.0,33110.0,5941.0,2394.0,"('Beacon Street at Shady Avenue', 'BS', 157.5774293235209)","[('Porked', 113.5901990754442, 5.0), ('LongHorn Steakhouse', 136.72204660619144, 3.0), ('Eighth & Hays', 137.0834773191394, 4.5), (""Duke's Upper Deck Cafe"", 137.24245249312708, 4.0), ('BRAVO! Cucina Italiana', 138.00503719700808, 3.5)]",132.52864253818205,1.4
46,47, (325 Spahr St(Shadyside)),"AUGUST,4br/2Bath,Just off Walnut/Ellsworth, Rents Fast!",4,1600.0,2340,3016.0,1135.0,225.0,8643.0,1970.0,665.0,"('Fifth Avenue at Maryland Avenue', 'AB', 4.450561084225637)","[('Con Alma', 0.7453460976361992, 4.5), ('Cafe Zinho', 0.9964614351274531, 4.0), ('The Twisted Frenchman', 3.669037600323924, 4.5), ('Garbarinos', 3.676299995469455, 4.0), ('Senyai Thai Kitchen', 4.0811406699019335, 4.5)]",,
